Symbol,Side,CxL,Qty,Price,Bid,Ask,StartDate,EndDate,TradeID,Time,Exkbr,TradeCommType,SourceComission,AccountType,OrderID,GTL,TrailerInfo,Clr
CERS,SS,NEW,2756,2.400000,2.340000,2.450000,06/14/17,06/19/17,1706149900003256945,09:30:00,CustSS,2756,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=GSCO
CERS,SS,NEW,100,2.3600001842,2.360000,2.370000,06/14/17,06/19/17,1706149900003866087,10:20:04,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,200,2.350000,2.360000,2.370000,06/14/17,06/19/17,1706149900003866096,10:20:04,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14/17,06/19/17,1706149900003869780,10:20:23,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14/17,06/19/17,1706149900003892888,10:22:29,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909119,10:24:01,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.3600008543,2.350000,2.360000,06/14/17,06/19/17,1706149900003909128,10:24:01,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909140,10:24:01,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909143,10:24:01,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909148,10:24:01,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909154,10:24:02,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909168,10:24:02,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909177,10:24:02,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.365000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909188,10:24:02,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,300,2.3600008543,2.350000,2.360000,06/14/17,06/19/17,1706149900003909190,10:24:02,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,200,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909193,10:24:02,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909196,10:24:02,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,300,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909219,10:24:02,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14/17,06/19/17,1706149900003909224,10:24:02,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003854300,#STA=CERS
